Model,Description,Harga_MD,Harga_ADP,Harga_Installer,Harga_Online,Harga_MSRP,Warranty
RG-LIC-EG-SDW-S-1Device-1Y,"Code S, SD-WAN license apply for EG100/200/300/400 Series, 1 device, 1 year. RMA supported",306471,306471,0,0,485000,1 Years Warranty
RG-LIC-EG-SDW-M-1Device-1Y,"Code M, SD-WAN license apply for EG1510XS Series, 1 device, 1 year. RMA supported",918803,918803,0,0,1455000,1 Years Warranty
RG-EG105GW(T),"5-Port All-in-One Cloud Managed Router, Max. 4 x Gigabit WAN, AC1300 Dual Band",1334220,1283160,1437450,1707000,1878000,3 Years Warranty
RG-EG105GW-X,"5-Port All-in-One Cloud Managed Router, Max. 4 x Gigabit WAN, AX3000 Dual Band",2292150,2204460,2469750,2905000,3196000,3 Years Warranty
RG-EG105G-V3,"5-Port Gigabit Cloud Managed Router, Max. 2 x Gigabit WAN",1000110,961260,1076700,1280000,1408000,3 Years Warranty
RG-EG209GS,"9-Port Gigabit Cloud Managed Router, Max. 4 x Gigabit WAN, 1 x SFP port",1444110,1388610,1556220,1850000,2035000,3 Years Warranty
RG-EG310GH-E,"10-Port Gigabit Cloud Managed Router, Max. 4 x Gigabit WAN",3167940,3045840,3412140,4040000,4444000,3 Years Warranty
RG-EG406XS,"6-Port Gigabit Cloud Managed Router, Max. 5 WAN, 5 * 2.5G ports, 1 * 10G SFP+ ports",3564210,3395490,3799530,4514000,4965000,3 Years Warranty
RG-EG710XS,"10-Port Gigabit Cloud Managed Router, Max. 9 WAN, 4 * 2.5G ports, 2 * 10G SFP+ ports",5103780,4769670,5341320,6309000,6940000,3 Years Warranty
RG-EG105G-P-V3,"5-Port Gigabit Cloud Managed Router, Max. 2 x Gigabit WAN, 4 PoE ports, budget 54W",1485180,1427460,1599510,1940000,2134000,3 Years Warranty
RG-EG210G-P-V3,"10-Port Gigabit Cloud Managed Router, Max. 4 x Gigabit WAN, 8 PoE ports, budget 110W",2383170,2291040,2567430,3100000,3410000,3 Years Warranty
RG-EG305GH-P-E,"10-Port Gigabit Cloud Managed Router, Max. 4 x Gigabit WAN, 4 PoE ports, budget 60W",2775000,2668440,2990340,3600000,3960000,3 Years Warranty
RG-EG310GH-P-E,"10-Port Gigabit Cloud Managed Router, Max. 4 x Gigabit WAN, 8 PoE ports, budget 110W",3260070,3135750,3513150,4200000,4620000,3 Years Warranty
RG-EG406XS-P,"6-Port Gigabit Cloud Managed Router, Max. 5 WAN, 4 PoE-out ports, budget 110W, 1 * 10G SFP+",3801750,3620820,4055940,4844000,5328000,3 Years Warranty
RG-RAP72,"BE3600 Dual band (2.4GHz&5GHz) access points, 2x2 MU-MIMO, Wi-Fi 7",2001330,1905870,2096790,2500000,2750000,3 Years Warranty
